feature,eda_recommendation,reason
field_062,exclude_until_mapped,Raw field without a confirmed business definition.
field_063,exclude_until_mapped,Raw field without a confirmed business definition.
field_064,exclude_until_mapped,Raw field without a confirmed business definition.
field_065,exclude_until_mapped,Raw field without a confirmed business definition.
field_066,exclude_until_mapped,Raw field without a confirmed business definition.
field_067,exclude_until_mapped,Raw field without a confirmed business definition.
field_068,exclude_until_mapped,Raw field without a confirmed business definition.
field_069,exclude_until_mapped,Raw field without a confirmed business definition.
field_070,exclude_until_mapped,Raw field without a confirmed business definition.
field_071,exclude_until_mapped,Raw field without a confirmed business definition.
field_072,exclude_until_mapped,Raw field without a confirmed business definition.
field_073,exclude_until_mapped,Raw field without a confirmed business definition.
field_074,exclude_until_mapped,Raw field without a confirmed business definition.
field_075,exclude_until_mapped,Raw field without a confirmed business definition.
field_076,exclude_until_mapped,Raw field without a confirmed business definition.
field_077,exclude_until_mapped,Raw field without a confirmed business definition.
field_078,exclude_until_mapped,Raw field without a confirmed business definition.
field_079,exclude_until_mapped,Raw field without a confirmed business definition.
field_080,exclude_until_mapped,Raw field without a confirmed business definition.
field_081,exclude_until_mapped,Raw field without a confirmed business definition.
field_082,exclude_until_mapped,Raw field without a confirmed business definition.
field_083,exclude_until_mapped,Raw field without a confirmed business definition.
field_084,exclude_until_mapped,Raw field without a confirmed business definition.
field_085,exclude_until_mapped,Raw field without a confirmed business definition.
field_086,exclude_until_mapped,Raw field without a confirmed business definition.
field_087,exclude_until_mapped,Raw field without a confirmed business definition.
field_088,exclude_until_mapped,Raw field without a confirmed business definition.
field_089,exclude_until_mapped,Raw field without a confirmed business definition.
field_090,exclude_until_mapped,Raw field without a confirmed business definition.
field_091,exclude_until_mapped,Raw field without a confirmed business definition.
field_092,exclude_until_mapped,Raw field without a confirmed business definition.
field_093,exclude_until_mapped,Raw field without a confirmed business definition.
field_094,exclude_until_mapped,Raw field without a confirmed business definition.
field_095,exclude_until_mapped,Raw field without a confirmed business definition.
field_096,exclude_until_mapped,Raw field without a confirmed business definition.
field_097,exclude_until_mapped,Raw field without a confirmed business definition.
field_098,exclude_until_mapped,Raw field without a confirmed business definition.
field_099,exclude_until_mapped,Raw field without a confirmed business definition.
field_100,exclude_until_mapped,Raw field without a confirmed business definition.
field_101,exclude_until_mapped,Raw field without a confirmed business definition.
field_102,exclude_until_mapped,Raw field without a confirmed business definition.
field_103,exclude_until_mapped,Raw field without a confirmed business definition.
field_104,exclude_until_mapped,Raw field without a confirmed business definition.
field_105,exclude_until_mapped,Raw field without a confirmed business definition.
field_106,exclude_until_mapped,Raw field without a confirmed business definition.
field_107,exclude_until_mapped,Raw field without a confirmed business definition.
field_108,exclude_until_mapped,Raw field without a confirmed business definition.
field_109,exclude_until_mapped,Raw field without a confirmed business definition.
field_110,exclude_until_mapped,Raw field without a confirmed business definition.
field_111,exclude_until_mapped,Raw field without a confirmed business definition.
field_112,exclude_until_mapped,Raw field without a confirmed business definition.
field_113,exclude_until_mapped,Raw field without a confirmed business definition.
source_file,drop,Identifier or row key. It should not be used as a predictive signal.
current_dq_num,candidate,Usable for modeling after preprocessing and leakage review.
reporting_year,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
reporting_month,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
reporting_quarter,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
origination_year,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
origination_quarter,engineer_or_use_for_splits,"Use for time features or validation splits, not as a raw predictor."
loan_month_key,drop,Identifier or row key. It should not be used as a predictive signal.
is_current,candidate,Usable for modeling after preprocessing and leakage review.
is_30plus_dq,candidate,Usable for modeling after preprocessing and leakage review.
is_60plus_dq,candidate,Usable for modeling after preprocessing and leakage review.
is_90plus_dq,candidate,Usable for modeling after preprocessing and leakage review.
prior_dq_num,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_change,candidate,Usable for modeling after preprocessing and leakage review.
dq_status_worsened,candidate,Usable for modeling after preprocessing and leakage review.
upb_ratio,candidate,Usable for modeling after preprocessing and leakage review.
paydown_pct,candidate,Usable for modeling after preprocessing and leakage review.
count_30plus_dq_past_12m,candidate,Usable for modeling after preprocessing and leakage review.
count_60plus_dq_past_12m,candidate,Usable for modeling after preprocessing and leakage review.
max_dq_past_12m,candidate,Usable for modeling after preprocessing and leakage review.
future_serious_dq_6m,target,"Outcome variable, not a predictor."
